x1,x2,x3,x4,x5
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
142,130,5,0,-1
0,0,0,0,0
146,21,10,0,-1
3,34,10,0,-1
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
3,34,10,0,-1
149,18,10,0,-1
0,0,0,0,0
0,0,0,0,0
1,36,10,0,-1
0,0,0,0,0
180,164,1,0,-1
0,0,0,0,0
152,11,10,0,-1
130,126,10,0,-1
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
152,17,10,0,-1
49,3,4,0,-1
11,55,6,0,-1
0,0,0,0,0
143,124,6,0,-1
81,200,1,0,-1
145,127,5,0,-1
49,3,7,0,-1
5,30,8,0,-1
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
73,29,6,1,2
0,0,0,0,0
2,27,10,0,-1
149,18,10,0,-1
0,0,0,0,0
0,0,0,0,0
89,69,1,0,-1
119,126,9,1,3
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
47,89,3,0,-1
49,156,10,0,-1
0,0,0,0,0
0,0,0,0,0
152,16,10,0,-1
152,127,5,0,-1
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
155,139,3,0,-1
141,127,6,0,-1
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
49,155,10,0,-1
0,0,0,0,0
2,24,10,0,-1
0,0,0,0,0
67,171,5,0,-1
0,0,0,0,0
0,0,0,0,0
149,18,10,0,-1
